centerY,centerX,orientation,major_axis_length,minor_axis_length
188.78,11.10,0.0,8.35,10.12
180.21,34.73,0.0,3.96,3.02
179.57,4.50,0.21642082724729686,3.96,3.02
172.67,13.10,0.21642082724729686,3.96,3.02
174.41,19.39,0.21642082724729686,2.61,2.56
173.47,43.70,0.21642082724729686,2.61,2.56
173.17,32.50,0.21642082724729686,2.61,2.56
173.51,57.71,0.21642082724729686,3.52,3.33
174.24,65.96,0.21642082724729686,3.78,3.71
186.85,51.61,6.255260039147677,7.25,5.56
179.67,78.57,6.255260039147677,8.11,10.28
202.30,61.04,6.255260039147677,13.55,11.46
160.07,16.39,0.006981317007977318,6.38,5.40
156.06,2.05,0.006981317007977318,8.50,13.36
204.91,27.84,0.0,2.31,2.11
205.77,32.49,0.0,2.31,2.26
206.61,21.07,0.0,2.01,1.78
205.61,38.29,0.0,1.81,1.76
205.60,43.03,0.0,1.81,1.76
217.65,6.53,0.0,3.05,2.62
226.93,15.51,0.0,4.62,3.89
236.25,29.33,0.0,9.02,11.30
247.00,41.73,0.0,2.31,2.11
244.05,57.06,0.0,2.85,2.49
234.60,56.38,0.0,2.01,1.97
256.73,62.37,0.0,3.62,3.18
243.69,74.78,0.0,4.11,3.57
253.46,84.18,0.0,3.86,3.47
257.95,88.63,0.0,2.20,1.97
255.95,95.63,0.0,2.45,2.22
245.10,91.33,0.0,2.20,1.97
238.20,89.93,0.0,2.35,2.17
237.63,78.98,0.0,2.77,2.67
234.29,82.68,0.0,2.24,2.17
241.03,101.33,0.0,2.42,2.37
255.94,110.83,0.0,4.11,3.37
220.15,76.93,0.0,6.30,4.97
218.75,99.28,0.0,4.20,3.82
234.71,61.63,0.0,2.01,1.97
229.71,71.73,0.0,2.01,1.97
250.71,107.43,0.0,1.96,1.82
248.00,120.13,0.0,2.50,2.42
253.90,128.21,0.0,3.65,3.54
246.21,124.23,0.0,1.96,1.82
244.37,144.46,0.0,4.03,3.69
233.30,150.03,0.0,4.03,3.69
260.07,146.17,0.0,3.12,3.03
270.79,142.05,0.0,4.06,3.85
229.62,132.55,0.0,11.83,10.40
239.67,158.86,0.0,2.03,1.99
242.17,150.42,0.0,1.83,1.82
238.89,164.60,0.0,2.65,2.61
248.84,165.90,0.0,3.11,3.00
213.60,153.97,0.0,4.05,3.73
219.30,167.43,0.0,1.96,1.82
218.52,172.61,0.0,2.08,2.04
155.28,70.80,0.2722713633111154,9.25,10.96
172.57,97.60,0.21642082724729686,4.01,3.70
180.01,122.35,0.21642082724729686,8.94,10.70
189.75,134.16,0.0,1.81,1.76
202.59,122.64,0.21642082724729686,8.94,10.70
155.07,125.33,6.255260039147677,9.67,13.15
158.47,107.92,6.255260039147677,9.67,11.82
172.47,165.48,0.23736477827122882,9.67,11.82
181.27,184.98,0.0,2.13,2.12
172.63,191.72,0.0,2.87,2.68
184.28,180.84,0.0,2.47,2.36
219.03,183.48,0.0,2.47,2.36
216.39,186.84,0.0,2.81,2.41
224.43,191.28,0.0,1.81,1.76
223.69,196.75,0.0,2.31,2.25
214.54,199.09,0.0,3.31,2.96
214.83,204.12,0.0,3.31,2.96
217.97,210.36,0.0,3.62,3.25
226.11,217.32,0.0,3.62,3.25
220.25,223.39,0.0,3.80,3.31
218.73,232.49,0.0,4.11,3.54
240.93,190.75,0.0,3.37,3.20
244.29,200.48,0.0,2.59,2.46
238.79,207.60,0.0,2.55,2.45
248.80,212.18,0.0,2.30,2.28
245.49,227.81,0.0,2.74,2.61
249.43,216.91,0.0,2.13,1.99
255.43,207.23,0.0,5.77,4.77
260.31,223.31,0.0,5.77,4.94
232.43,239.73,0.0,9.88,11.37
226.65,228.61,0.0,4.61,4.27
220.19,248.58,0.0,4.86,4.33
207.75,258.36,0.0,3.80,3.31
194.31,258.96,0.0,3.80,3.31
194.21,252.30,0.0,3.55,3.09
203.19,244.08,0.0,12.84,10.35
174.39,236.88,0.0,12.84,10.35
179.64,223.56,0.0,1.98,1.87
154.51,178.22,0.21642082724729686,9.32,11.86
161.79,180.24,0.21642082724729686,9.32,11.86
173.91,177.36,0.0,5.47,4.89
158.27,208.18,0.0,11.88,10.19
164.85,200.61,0.0,5.77,5.53
167.83,221.60,0.0,2.87,2.68
175.65,256.52,0.0,4.23,4.15
176.22,263.68,0.0,2.30,2.28
175.37,271.50,0.0,2.30,2.28
181.20,271.08,0.0,2.13,1.99
182.05,266.90,0.0,1.85,1.70
166.50,259.33,0.0,4.14,3.83
151.13,262.09,0.609119908946021,16.35,12.48
166.35,279.27,0.5044001538263612,4.15,3.98
176.68,279.70,0.0,3.27,3.15
192.08,297.88,0.0,4.52,3.97
194.08,282.88,0.0,4.12,3.77
205.15,291.44,0.0,2.55,2.31
199.75,287.18,0.0,2.55,2.31
210.70,287.24,0.0,3.80,3.41
218.13,278.69,0.0,5.42,4.41
200.46,281.98,0.0,1.85,1.70
200.96,278.78,0.0,1.85,1.70
205.46,282.78,0.0,1.85,1.70
223.35,255.34,0.0,2.30,2.06
229.63,254.31,0.0,2.08,1.89
235.51,267.45,0.0,16.59,12.00
222.85,285.24,0.0,2.55,2.41
224.30,292.89,0.0,3.65,3.36
219.15,303.78,0.0,3.65,3.36
205.70,297.86,0.0,2.65,2.54
198.50,308.56,0.0,2.95,2.84
190.10,312.42,0.0,4.50,3.93
202.80,325.17,0.0,3.25,3.03
203.00,332.28,0.0,3.55,3.12
203.85,340.28,0.0,4.30,3.72
203.85,311.18,0.0,2.55,2.31
209.85,311.09,0.0,3.56,3.20
184.85,321.29,0.0,2.11,2.10
173.96,328.38,0.0,2.11,2.10
173.23,333.13,0.0,2.42,2.41
184.27,282.06,0.0,5.23,4.69
233.51,303.72,0.0,5.49,5.17
243.25,305.50,0.0,6.71,5.89
253.01,315.15,0.0,4.57,4.30
238.86,316.84,0.0,2.91,2.86
230.22,330.23,0.0,6.58,5.38
224.80,338.73,0.0,4.23,3.87
235.22,336.32,0.0,2.76,2.65
234.82,318.51,0.0,1.97,1.88
226.01,350.21,0.0,3.59,3.14
233.98,353.20,0.0,3.59,3.14
159.75,307.08,0.0,9.31,11.36
164.88,298.57,0.0,12.84,10.35
151.91,340.38,0.0,15.01,12.07
174.21,346.17,0.0,12.84,10.53
192.17,361.90,0.0,5.93,5.10
192.18,375.55,0.0,5.93,5.45
206.18,277.68,0.0,1.85,1.70
230.88,286.68,0.0,1.85,1.70
230.28,296.88,0.0,1.85,1.70
228.58,322.68,0.0,1.85,1.70
244.88,345.18,0.0,1.85,1.70
244.27,349.39,0.0,2.28,2.01
244.10,353.74,0.0,2.60,2.51
243.49,362.14,0.0,2.81,2.81
226.48,362.93,0.0,3.72,3.42
241.38,369.18,0.0,1.85,1.70
246.02,376.89,0.0,3.08,2.96
236.20,384.41,0.0,3.80,3.64
240.10,393.16,0.0,4.15,3.49
240.78,402.28,0.0,4.15,3.49
252.52,388.10,0.0,2.92,2.90
220.00,385.39,0.0,2.50,2.46
218.08,389.38,0.0,2.50,2.46
216.89,393.96,0.0,3.36,3.09
217.48,404.28,0.0,3.36,3.09
206.67,400.05,0.0,2.12,2.10
207.28,406.39,0.0,2.26,2.22
204.30,382.00,0.1832595714594046,9.57,12.81
184.58,404.08,0.0,1.85,1.70
185.48,400.88,0.0,1.85,1.70
187.18,397.98,0.0,1.85,1.70
210.08,421.61,0.0,2.82,2.74
217.73,418.87,0.0,3.12,2.93
235.07,419.34,0.0,2.13,2.01
235.46,413.54,0.0,1.81,1.66
252.34,414.70,0.33335788713091696,9.17,10.63
229.78,438.28,0.0,3.80,3.64
231.69,455.92,0.0,3.54,3.48
238.64,472.08,0.0,2.24,2.12
238.46,466.53,0.0,2.06,1.92
239.32,462.88,0.0,1.77,1.67
251.73,462.15,0.18151424220741028,11.37,10.20
166.69,318.83,0.0,4.66,4.57
174.30,380.78,0.0,4.30,3.57
179.49,376.11,0.0,2.21,2.14
180.48,371.77,0.0,1.87,1.83
178.11,361.33,0.0,3.44,3.07
179.18,364.78,0.0,2.50,2.46
175.64,396.91,0.0,3.91,3.49
178.15,411.02,0.0,6.00,5.08
169.06,405.75,0.0,4.21,3.84
167.83,435.47,0.0,4.42,3.93
190.08,435.18,0.0,1.85,1.70
189.62,440.69,0.0,2.03,1.86
189.02,449.31,0.0,2.48,2.34
179.40,444.95,0.0,5.35,4.35
163.64,391.55,0.0,7.49,6.15
170.53,392.44,0.0,3.22,3.14
164.95,378.77,0.0,2.73,2.70
176.78,372.38,0.0,1.87,1.83
180.48,368.08,0.0,1.87,1.83
179.18,454.58,0.0,4.21,3.84
192.23,465.20,0.0,7.07,5.45
204.08,455.78,0.0,2.48,2.34
199.55,472.02,0.0,3.90,3.33
