centerY,centerX,orientation,major_axis_length,minor_axis_length
86.333,156.0,0.0,6.5,5.5
80.333,177.0,0.0,6.5,5.5
82.333,203.0,0.0,6.5,5.0
94.333,225.0,0.0,6.5,5.5
105.333,246.0,0.0,7.0,6.0
101.333,255.0,0.0,7.0,6.0
105.333,268.0,0.0,7.5,6.5
120.333,282.0,0.0,8.0,7.0
111.333,306.0,0.0,7.0,6.0
102.333,303.0,0.0,8.0,7.0
86.333,272.0,0.0,6.5,5.5
74.333,295.0,0.0,6.5,5.5
99.333,346.0,0.0,9.5,8.0
82.333,381.0,0.0,10.0,8.0
68.333,369.0,0.0,9.0,7.0
108.333,176.0,0.0,10.5,8.5
92.333,194.0,0.0,6.0,5.0
89.333,333.0,0.0,6.5,5.5
75.333,329.0,0.0,6.5,5.5
156.333,407.0,0.0,11.5,10.0
99.6,405.6,0.0,11.5,9.5
96.6,422.6,0.0,10.0,8.0
83.6,475.6,0.0,9.5,7.5
157.6,465.6,0.0,7.5,7.0
161.6,487.6,0.0,7.5,7.0
179.6,493.6,0.0,9.0,8.0
135.6,508.6,0.0,7.0,6.0
127.6,519.6,0.0,6.0,5.5
105.6,495.6,0.0,8.0,7.0
112.6,482.6,0.0,5.0,5.0
115.6,464.6,0.0,5.0,5.0
122.6,430.6,0.0,4.0,4.0
118.6,416.6,0.0,5.5,5.5
156.6,442.6,0.0,3.5,3.5
178.6,406.6,0.0,7.0,7.0
114.6,393.6,0.0,7.0,7.0
115.6,362.6,0.0,5.5,5.5
115.6,384.6,0.0,5.5,5.5
116.6,342.6,0.0,5.5,5.5
127.6,324.6,0.0,2.5,2.5
199.6,340.6,0.0,7.0,7.0
214.6,372.6,0.0,7.0,7.0
202.6,316.6,0.0,7.0,7.0
218.6,282.6,0.0,6.5,6.5
219.6,300.6,0.0,3.5,3.5
225.6,262.6,0.0,6.0,6.0
164.6,249.6,0.0,7.0,7.0
193.6,230.6,0.0,7.5,7.5
236.6,237.8,0.0,6.0,6.0
241.6,215.8,0.0,5.5,5.5
217.6,169.8,0.0,7.0,7.0
177.6,171.8,0.0,5.5,5.0
173.6,157.8,0.175,5.5,5.0
179.6,135.8,0.0,3.5,3.0
133.6,117.8,0.0,6.5,6.0
146.6,101.8,0.0,4.5,4.0
114.6,86.8,0.0,6.0,5.5
99.6,90.8,0.0,5.5,5.0
89.6,84.8,0.0,6.0,5.5
77.6,83.8,0.0,6.5,5.5
113.6,113.8,0.0,7.0,6.5
104.6,128.8,0.0,8.0,7.5
116.6,125.8,0.0,5.5,5.5
111.6,133.8,0.0,5.0,5.0
100.6,189.8,0.0,5.5,5.5
248.0,194.8,0.0,5.0,5.0
256.0,178.8,0.0,4.5,4.5
262.0,167.8,0.0,4.0,4.0
268.0,159.8,0.0,3.5,3.5
227.0,714.4,0.0,6.5,6.5
207.0,730.4,0.0,6.0,6.0
190.0,809.8,0.0,7.5,7.0
192.0,826.8,0.0,7.5,7.5
192.0,903.8,0.0,7.5,7.5
168.0,918.8,0.0,6.5,6.5
161.0,942.8,0.0,7.0,7.0
152.0,859.8,0.0,5.5,5.5
142.0,844.8,0.0,6.0,6.0
257.0,847.8,0.0,6.5,6.5
146.0,968.8,0.0,6.5,6.5
133.0,971.8,0.0,6.5,6.5
137.0,979.8,0.0,5.0,5.0
132.0,928.8,0.0,7.0,6.0
129.0,919.8,0.0,6.5,6.0
85.6,920.8,0.0,14.5,12.0
100.6,859.8,-0.175,16.0,13.5
76.6,840.8,0.0,9.5,7.0
75.6,862.8,0.0,11.0,8.5
68.6,799.8,0.0,11.5,9.0
106.6,760.8,0.0,12.5,11.0
144.6,805.8,0.0,5.5,5.0
133.6,720.8,0.0,10.0,8.0
128.6,685.8,0.0,12.0,11.0
120.6,702.8,0.0,7.0,6.5
89.6,728.8,0.0,7.0,6.0
124.6,646.8,0.0,11.0,10.0
86.6,639.8,0.262,9.0,8.0
103.6,685.8,0.0,16.0,14.0
109.6,685.8,0.0,5.5,5.0
79.6,713.8,0.0,5.5,5.0
84.6,682.8,0.0,6.5,6.0
77.6,693.8,0.0,5.5,5.0
68.6,674.8,0.0,8.0,6.0
66.6,710.8,0.0,6.5,4.5
74.6,735.8,0.0,7.0,5.0
65.6,718.8,0.0,11.5,9.5
105.6,949.8,0.0,19.5,17.5
80.6,946.8,0.0,13.5,11.5
97.6,996.0,0.0,12.5,10.5
100.6,1031.0,0.0,9.5,8.0
97.6,1085.0,0.0,12.0,10.5
101.6,1072.0,0.0,4.5,4.5
128.6,1073.0,0.0,6.5,6.0
135.6,1060.0,0.0,6.5,6.0
139.6,1037.0,0.0,6.5,6.0
135.6,1019.0,0.0,5.5,5.0
122.6,1052.0,0.0,8.5,6.5
139.6,1083.0,0.0,5.0,5.0
130.6,1118.0,0.0,4.5,4.5
83.6,1135.4,0.0,14.5,11.5
78.6,1168.4,0.0,8.5,6.5
71.6,1180.4,0.0,6.5,5.0
169.6,1192.4,0.0,11.0,10.5
107.6,1243.4,0.0,11.0,10.5
106.6,1265.4,0.0,11.0,10.5
90.6,1254.4,0.0,10.5,9.0
87.6,1266.4,0.0,6.0,5.5
110.6,1209.4,0.524,26.5,25.0
62.6,1152.4,0.0,7.0,6.0
217.6,1230.4,0.0,4.5,4.0
117.6,968.6,0.0,6.5,6.0
114.6,913.6,0.0,6.0,5.5
149.6,570.6,0.0,13.0,11.5
151.6,611.6,0.0,11.5,10.0
120.6,590.6,0.0,7.5,7.0
108.6,607.6,-1.134,11.5,9.0
127.6,555.6,0.0,7.5,6.5
123.6,572.6,0.0,6.0,5.0
111.6,569.6,0.0,6.5,5.5
112.6,579.6,0.0,6.0,5.0
97.6,572.6,0.0,10.0,8.5
106.6,555.6,0.0,7.5,7.0
82.6,515.6,0.0,8.5,7.0
135.6,65.0,0.0,5.5,5.5
137.6,42.0,0.0,6.5,6.5
113.6,43.0,0.0,5.0,5.0
98.6,32.0,0.0,5.0,5.0
123.6,22.0,0.0,5.5,5.0
161.6,15.0,0.0,7.5,7.0
89.6,12.0,0.0,6.0,5.5
86.6,2.0,0.0,6.5,6.0
71.6,28.0,0.0,7.0,5.5
73.6,44.0,0.0,7.0,5.5
76.6,51.0,0.0,5.5,5.5
111.6,63.0,0.0,8.5,8.5
105.6,144.0,0.0,8.5,8.5
126.6,100.0,-0.175,8.5,6.0
61.6,316.0,0.0,7.0,6.0
60.6,305.0,0.0,7.0,6.0
