centerY,centerX,orientation,major_axis_length,minor_axis_length
546.54,7.59,0.0,6.11,5.91
546.74,32.50,0.0,6.11,5.91
543.39,67.68,0.0,8.36,8.36
534.14,28.65,0.0,4.69,4.35
535.19,11.65,0.0,4.34,4.00
536.03,3.77,0.0,3.83,3.83
535.71,77.70,0.0,3.31,3.30
545.34,91.34,0.0,4.69,4.35
544.47,130.27,0.0,6.28,5.94
521.67,88.52,0.0,4.17,4.13
536.65,96.42,0.0,3.12,2.93
540.26,115.72,0.0,2.61,2.47
539.76,106.73,0.0,2.61,2.47
545.37,113.22,0.0,3.12,2.93
543.63,120.33,0.0,4.05,3.86
541.40,177.06,0.0,3.60,3.44
533.20,163.28,0.0,4.23,4.20
528.26,118.56,0.0,4.04,3.69
537.90,124.04,0.0,2.61,2.47
530.32,144.82,0.0,3.75,3.58
545.33,167.03,0.0,7.27,6.77
542.13,154.73,0.0,4.69,4.35
548.71,211.70,0.0,9.90,10.29
534.83,199.32,0.0,3.60,3.44
531.61,225.66,0.0,5.93,5.45
543.77,255.75,0.0,5.64,5.64
540.51,237.63,0.0,4.69,4.35
536.05,240.26,0.0,2.61,2.47
536.03,245.02,0.0,1.88,1.88
524.31,242.80,0.0,3.19,3.03
531.41,233.60,0.0,2.61,2.47
533.20,264.20,0.0,3.72,3.39
532.62,257.27,0.0,1.88,1.88
529.69,249.15,0.0,2.61,2.47
543.82,283.52,0.0,5.64,5.64
543.28,309.13,0.0,7.17,7.09
532.83,301.35,0.0,4.69,4.35
526.38,317.22,0.0,3.78,3.63
531.61,279.19,0.0,2.80,2.80
538.61,348.51,0.0,7.98,7.09
544.67,336.45,0.0,8.13,7.15
541.47,369.02,0.0,5.37,5.28
541.21,386.95,0.0,5.37,5.28
538.47,395.91,0.0,5.37,5.28
536.51,211.17,0.0,2.61,2.47
515.82,385.83,0.0,6.68,5.28
542.02,411.83,0.0,4.61,4.40
527.88,412.97,0.0,3.72,3.51
525.09,403.79,0.43458698374658805,5.28,4.49
533.25,421.94,0.0,3.46,3.36
533.59,463.90,0.0,4.49,4.30
533.02,431.43,0.0,2.41,2.22
532.74,503.49,0.0,3.52,3.46
537.75,525.27,0.0,3.46,3.36
535.43,555.96,0.0,6.48,6.08
532.65,564.16,0.0,3.75,3.54
531.90,571.16,0.0,4.25,4.04
541.32,584.54,0.0,4.93,4.72
539.66,592.64,0.0,4.93,4.72
531.39,536.00,0.0,6.48,6.08
525.45,532.08,0.0,4.12,4.10
525.07,524.06,0.0,7.74,7.21
527.79,605.58,0.0,7.49,6.82
532.84,596.96,0.0,3.46,3.36
540.72,650.46,0.0,6.48,6.08
536.68,669.97,0.0,7.82,7.23
519.16,546.16,0.0,2.41,2.22
516.98,550.60,0.0,2.72,2.40
518.72,462.50,0.0,4.74,4.54
536.58,444.17,0.0,3.28,2.99
533.63,471.37,0.0,2.41,2.22
534.86,482.66,0.0,3.07,2.81
536.03,578.38,0.0,3.38,3.16
535.64,451.27,0.0,2.41,2.22
535.39,456.11,0.0,1.89,1.88
531.60,370.21,0.0,3.76,3.71
521.63,644.47,0.0,3.02,2.93
524.37,649.30,0.0,3.02,2.93
525.09,655.09,0.0,3.21,3.11
526.21,638.60,0.0,3.49,3.35
531.93,619.34,0.0,3.62,3.60
525.01,628.42,0.0,2.07,2.06
532.79,635.68,0.0,3.31,3.27
524.65,675.80,0.0,3.21,3.11
527.04,689.27,0.0,2.84,2.66
527.67,701.28,0.0,2.84,2.66
536.76,713.96,0.0,6.81,6.38
539.18,705.70,0.0,3.93,3.76
522.70,737.15,0.0,6.20,5.75
