centerY,centerX,orientation,major_axis_length,minor_axis_length
224.09,23.43,0.0,7.91,6.37
217.64,17.70,0.0,3.95,3.94
222.84,3.99,0.0,5.56,4.86
223.63,44.38,0.0,4.08,3.90
224.73,34.65,0.0,4.08,3.90
216.29,30.42,0.0,4.08,3.90
206.56,17.40,0.0,2.18,1.95
205.09,21.18,0.0,2.91,2.52
205.92,25.58,0.0,2.49,2.32
205.30,30.27,0.0,3.00,2.73
202.90,35.98,0.0,3.40,3.27
202.92,46.61,0.0,3.40,3.27
220.31,63.28,0.0,4.89,4.42
196.66,62.68,0.0,5.24,4.77
179.63,55.43,0.0,8.28,10.67
176.60,72.93,0.0,8.88,10.67
170.28,41.11,0.0,6.52,5.99
180.85,39.44,0.0,5.05,4.71
177.05,31.07,0.0,2.74,2.53
177.53,27.37,0.0,2.37,2.31
173.20,22.43,0.0,2.60,2.52
165.56,10.49,0.0,5.64,5.07
163.41,25.27,0.0,4.66,4.13
175.33,16.63,0.0,2.18,1.95
212.60,79.16,0.0,2.70,2.69
234.44,54.98,0.0,1.89,1.82
233.30,58.81,0.0,2.02,1.96
232.21,66.12,0.0,2.59,2.53
232.21,75.38,0.0,2.89,2.82
230.66,69.35,0.0,2.34,2.10
230.07,83.25,0.0,2.33,2.25
248.66,38.31,0.0,1.89,1.82
248.40,46.62,0.0,2.68,2.67
250.91,61.27,0.0,2.68,2.67
232.76,89.25,0.0,3.15,3.05
229.76,74.07,0.0,1.86,1.83
228.15,90.64,0.0,2.51,2.45
229.24,101.52,0.0,2.81,2.51
229.06,109.20,0.0,3.79,3.10
239.53,85.72,0.0,1.89,1.82
237.27,91.80,0.0,2.43,2.25
237.30,97.93,0.0,2.95,2.67
237.74,103.03,0.0,3.21,2.87
236.81,114.52,0.0,3.34,3.08
245.13,115.62,0.0,2.89,2.73
247.06,106.85,0.0,2.61,2.51
247.62,102.06,0.0,2.27,2.24
247.95,96.89,0.0,2.05,1.96
201.86,0.92,5.797983775125163,8.60,12.06
209.43,113.66,0.0,4.32,3.49
177.57,96.85,0.0,2.54,2.52
175.35,113.23,0.0,2.52,2.32
175.12,122.75,0.0,3.08,3.00
154.54,75.46,0.0,9.69,12.76
153.19,92.94,0.2879793265790644,14.11,10.50
156.60,121.94,0.2879793265790644,12.76,10.50
155.41,139.15,0.2879793265790644,12.76,10.50
160.78,158.02,0.2879793265790644,9.70,11.44
166.24,159.59,0.3246312408709453,4.51,3.80
179.65,173.15,0.0,9.45,8.28
213.56,175.25,0.0,9.85,12.54
