centerY,centerX,orientation,major_axis_length,minor_axis_length
601.769,820.239,0.086,6.729,6.346
339.895,230.215,-0.06,8.548,7.785
451.865,620.24,0.002,10.28,9.663
585.834,171.598,-0.135,7.527,7.137
445.498,360.274,-0.254,8.431,8.124
273.94,356.54,0.085,7.257,6.603
585.513,107.317,-0.016,8.208,7.72
268.285,160.203,0.635,6.31,6.212
273.669,383.735,-0.225,6.813,6.353
272.167,563.656,-0.014,7.813,7.334
273.209,315.849,0.072,7.094,6.246
455.578,1255.475,0.099,10.72,10.065
263.762,960.238,0.063,8.346,8.015
272.414,492.5,0.0,7.794,7.098
430.669,1008.272,-0.015,10.443,9.848
647.625,15.612,0.182,7.289,6.643
442.968,455.724,0.065,9.82,9.176
340.412,939.938,0.029,9.857,8.781
347.809,420.357,0.066,9.268,8.278
461.748,780.761,-0.043,10.511,9.512
270.528,602.269,0.066,8.159,7.527
458.485,716.446,-0.088,8.89,8.277
589.349,212.208,-0.188,6.02,5.62
557.511,699.867,0.064,6.721,6.397
587.742,975.619,0.08,10.337,9.204
266.537,76.574,-0.005,5.959,5.781
341.686,158.117,-0.312,7.877,7.593
271.347,253.613,-0.12,6.507,6.067
439.34,257.455,-0.255,8.259,8.051
442.014,985.863,-0.667,4.859,4.802
593.361,278.479,-0.139,8.191,7.548
387.856,1241.796,0.043,8.688,7.914
337.948,9.455,-0.018,6.773,6.294
325.806,624.032,0.118,9.238,8.509
323.275,1144.425,0.046,10.524,9.258
318.261,814.526,-0.036,9.647,8.353
481.594,1046.266,-0.156,6.593,6.192
339.376,85.116,-0.288,7.647,7.215
272.896,464.485,0.061,7.374,7.03
263.315,912.751,-0.093,7.878,7.314
642.305,636.573,-0.095,9.783,8.532
272.988,410.38,-0.062,7.386,7.019
347.06,337.495,0.075,8.688,7.987
442.503,474.756,0.107,7.956,7.725
249.7,343.852,-0.056,8.319,7.768
484.252,1179.187,0.13,7.32,6.74
267.516,737.534,0.091,8.666,8.043
266.785,877.965,0.041,8.281,7.689
265.48,61.627,0.239,5.892,5.53
379.195,734.642,-0.121,6.435,6.079
440.062,167.314,0.093,8.035,7.692
273.396,441.057,-0.142,7.403,6.852
248.246,790.201,0.008,10.269,8.963
436.788,98.243,-0.336,7.896,7.619
270.495,230.709,0.019,5.983,5.487
272.218,282.669,-0.094,6.607,5.976
644.0,161.222,0.07,7.892,7.106
644.648,469.5,0.0,9.419,8.239
249.834,302.193,-0.12,8.081,7.371
641.421,309.425,0.028,8.578,7.941
382.603,1006.603,-0.105,6.712,6.22
265.602,35.711,-0.374,5.31,4.986
319.318,703.331,-0.046,9.191,8.383
249.798,254.366,-0.076,7.995,7.29
479.197,897.44,0.02,11.389,10.228
267.675,139.198,-0.214,6.69,6.004
636.812,810.041,-0.041,10.048,8.585
