centerY,centerX,orientation,major_axis_length,minor_axis_length
521.933,1014.0,0.0,5.439,5.292
435.277,481.658,0.039,10.725,10.062
600.264,1155.418,-0.105,6.049,5.809
379.896,615.889,-0.315,6.671,6.445
314.292,134.306,-0.049,4.95,4.662
315.618,540.193,0.032,8.607,7.656
379.76,528.133,0.096,8.181,7.625
457.197,285.681,0.086,11.204,10.259
257.725,470.481,-0.235,6.568,6.363
328.424,608.175,0.017,10.627,9.409
264.289,331.934,-0.098,8.44,7.966
262.423,1089.949,0.055,8.711,7.864
677.792,1171.832,0.135,6.044,5.327
482.175,595.468,0.031,12.364,11.172
537.435,354.197,0.083,7.04,6.647
371.71,199.774,0.298,6.464,6.117
438.076,626.238,0.032,10.633,9.819
656.291,1242.0,1.571,4.213,4.172
313.953,409.656,-0.118,6.527,6.233
461.075,763.205,0.032,10.685,9.893
629.557,318.686,0.015,8.064,7.302
264.083,689.87,0.075,8.176,7.523
535.408,663.633,-0.225,6.314,6.041
444.48,189.36,0.042,10.646,9.901
442.681,210.467,-0.156,8.757,8.33
263.356,740.498,-0.035,8.905,8.041
313.365,112.351,-0.112,5.007,4.732
264.173,928.528,-0.004,10.388,9.222
318.556,462.581,0.031,6.537,6.043
453.128,404.513,-0.842,7.966,7.794
355.244,920.225,-0.062,11.425,10.171
369.152,1223.839,0.005,10.667,9.609
334.565,477.958,-0.029,9.986,9.094
301.682,1128.378,0.06,10.96,9.677
528.143,1083.416,-0.034,5.001,4.913
313.15,305.5,-0.0,6.386,5.983
344.883,328.534,-0.089,9.337,8.435
522.637,1033.703,-0.524,5.52,5.258
590.704,1091.565,-0.58,6.057,5.678
312.548,261.038,-0.002,5.967,5.54
332.463,69.451,0.031,9.202,8.438
306.348,943.361,-0.088,7.171,6.888
260.531,119.606,0.065,7.411,6.886
364.836,1166.137,0.019,10.78,9.713
597.822,188.073,-0.041,9.66,8.53
256.995,551.949,0.039,12.142,11.251
321.153,975.435,-0.192,6.491,6.076
264.359,787.438,0.018,8.694,7.948
526.253,970.392,-0.005,11.677,10.365
634.492,734.358,-0.042,11.859,10.584
243.138,477.91,0.034,11.046,9.611
522.619,988.206,0.371,4.758,4.236
312.845,285.552,-0.231,6.264,5.908
522.333,1000.72,-0.348,5.005,4.767
370.296,54.493,0.042,4.961,4.588
263.457,352.849,-0.002,8.447,7.504
373.807,500.667,-0.124,7.719,7.048
665.951,531.015,0.012,10.687,9.793
551.84,341.92,-0.014,4.221,3.77
247.927,830.655,-0.01,8.675,8.068
264.449,589.204,-0.296,8.097,7.704
263.291,1006.687,-0.147,7.857,7.374
341.151,226.369,0.004,8.829,8.109
640.059,920.901,-0.028,10.704,9.631
533.925,1118.672,0.056,4.83,4.443
243.817,593.448,0.001,11.127,10.153
347.176,944.588,0.064,10.647,9.36
385.307,650.254,-0.012,8.538,7.649
260.475,57.412,0.143,7.709,7.311
487.143,1229.15,0.057,11.962,10.838
647.426,202.512,-0.022,9.319,8.26
262.877,212.678,-0.005,7.678,7.087
313.551,228.513,0.409,5.231,4.768
260.849,1130.203,0.101,9.081,8.143
600.811,287.767,-0.003,10.099,8.671
453.681,883.037,0.056,12.37,11.154
255.473,321.667,0.148,5.607,5.291
576.127,414.523,-0.03,11.042,10.204
316.962,381.535,-0.091,7.293,6.86
680.373,1097.991,-0.013,10.613,9.659
314.054,79.324,0.202,5.099,4.656
613.884,405.791,0.024,10.381,8.957
337.696,148.907,-0.158,9.275,8.479
264.264,269.095,-0.097,8.292,7.712
312.098,28.314,0.185,4.285,3.834
246.709,658.064,0.012,9.635,8.753
266.219,628.866,0.068,8.4,7.618
242.545,65.67,-0.032,9.861,9.007
640.43,628.0,0.0,9.878,8.692
385.213,725.527,0.1,7.545,7.123
380.145,854.778,-0.129,8.999,8.284
263.565,229.31,0.119,7.434,7.204
547.282,519.821,-0.231,5.138,4.838
258.304,39.247,0.139,7.312,6.882
547.778,409.476,-0.117,4.698,4.313
376.537,297.491,-0.422,6.003,5.738
257.582,1191.582,0.079,10.013,9.122
369.648,16.437,-0.314,4.819,4.696
577.58,601.294,-0.002,10.94,9.693
694.069,715.292,-0.041,11.674,10.278
614.647,844.689,-0.022,10.64,9.338
634.004,81.09,-0.01,9.877,8.933
614.161,1057.357,-0.018,11.616,10.359
262.833,1027.656,0.1,8.492,8.054
257.121,1169.067,0.03,10.072,8.919
312.325,195.181,-0.16,5.399,4.897
525.833,493.896,0.21,3.993,3.828
563.368,775.624,0.022,11.356,10.604
493.026,738.294,0.029,9.271,7.832
328.157,686.235,0.522,4.205,3.865
256.169,364.787,0.067,5.491,5.161
372.038,450.824,-0.1,6.617,6.304
526.261,1066.92,-0.289,5.425,5.187
250.247,870.728,0.012,10.015,8.871
245.741,1271.309,-0.004,12.495,9.234
261.5,153.138,0.0,8.046,7.43
